Modelo,ROC_AUC,F1,Precision,Recall,Balanced_Accuracy,MCC
Random Forest,0.9292653508771929,0.83399209486166,0.9547511312217195,0.7403508771929824,0.8545504385964913,0.7350953791456244
XGBoost,0.9455811403508771,0.8682745825602969,0.9212598425196851,0.8210526315789474,0.8792763157894736,0.7672072919872929
SVM,0.9453618421052632,0.8852459016393442,0.9204545454545454,0.8526315789473684,0.8935032894736842,0.7921303057356509
