planta,modelo,motivo,contagem
Physalis peruviana,RF,LRR1,6
Arabidopsis thaliana,SVM,LRR1,39
Solanum melongena,SVM,LRR1,4
Solanum tuberosum,SVM,LRR1,92
Physalis peruviana,SVM,LRR1,13
Arabidopsis thaliana,XGBoost,LRR2,130
Solanum melongena,XGBoost,LRR2,21
Solanum tuberosum,XGBoost,LRR2,190
Physalis peruviana,XGBoost,LRR2,48
Arabidopsis thaliana,RF,LRR2,86
Solanum melongena,RF,LRR2,7
Solanum tuberosum,RF,LRR2,124
Physalis peruviana,RF,LRR2,26
Arabidopsis thaliana,SVM,LRR2,99
Solanum melongena,SVM,LRR2,12
Solanum tuberosum,SVM,LRR2,174
Physalis peruviana,SVM,LRR2,43
