Modelo,ROC_AUC,F1,Precision,Recall,Balanced_Accuracy,Accuracy,MCC
Random Forest,0.9542749574933203,0.8805460750853242,0.9772727272727273,0.8012422360248447,0.8922412297442659,0.8970588235294118,0.8037186718808346
XGBoost,0.963166660883445,0.9096774193548387,0.9463087248322147,0.8757763975155279,0.9155418300426802,0.9176470588235294,0.8363236524095334
SVM,0.9570335542524029,0.9090909090909091,0.9344262295081968,0.8850931677018633,0.9146136229570769,0.9161764705882353,0.8324869972206768
