Modelo,Accuracy,Recall,Precision,F1,ROC_AUC,MCC
RF,0.8672705080571841,0.7751430087023843,0.9500499835069325,0.853706052490393,0.9300920071910493,0.7472989062836983
XGB,0.8785104768449914,0.8174477785264728,0.931168487555602,0.8705906146775068,0.9385342452299957,0.7627475662096371
SVM,0.8838630815597506,0.8308224971684993,0.9292589974918235,0.8772403517806833,0.9409576785627898,0.7721054677778292
