planta,modelo,motivo,contagem
Physalis peruviana,RF,LRR1,31
Arabidopsis thaliana,SVM,LRR1,106
Solanum melongena,SVM,LRR1,36
Solanum tuberosum,SVM,LRR1,174
Physalis peruviana,SVM,LRR1,66
Arabidopsis thaliana,XGBoost,LRR2,228
Solanum melongena,XGBoost,LRR2,63
Solanum tuberosum,XGBoost,LRR2,340
Physalis peruviana,XGBoost,LRR2,147
Arabidopsis thaliana,RF,LRR2,136
Solanum melongena,RF,LRR2,19
Solanum tuberosum,RF,LRR2,274
Physalis peruviana,RF,LRR2,73
Arabidopsis thaliana,SVM,LRR2,197
Solanum melongena,SVM,LRR2,62
Solanum tuberosum,SVM,LRR2,329
Physalis peruviana,SVM,LRR2,137
