Modelo,Accuracy,Recall,Precision,F1,ROC_AUC
RF,0.8391050976203193,0.8069868995633188,0.8944989685229224,0.8484833729055739,0.9211951719298097
XGB,0.8600676517714083,0.8506550218340612,0.89409756155501,0.871552579379497,0.9318911709053811
SVM,0.8668897988249956,0.8270742358078602,0.9267448711984393,0.873918882234977,0.9380488242004803
