planta,modelo,motivo,contagem
Physalis peruviana,RF,LRR1,30
Arabidopsis thaliana,SVM,LRR1,88
Solanum melongena,SVM,LRR1,33
Solanum tuberosum,SVM,LRR1,166
Physalis peruviana,SVM,LRR1,62
Arabidopsis thaliana,XGBoost,LRR2,228
Solanum melongena,XGBoost,LRR2,64
Solanum tuberosum,XGBoost,LRR2,347
Physalis peruviana,XGBoost,LRR2,149
Arabidopsis thaliana,RF,LRR2,141
Solanum melongena,RF,LRR2,17
Solanum tuberosum,RF,LRR2,273
Physalis peruviana,RF,LRR2,71
Arabidopsis thaliana,SVM,LRR2,174
Solanum melongena,SVM,LRR2,58
Solanum tuberosum,SVM,LRR2,313
Physalis peruviana,SVM,LRR2,134
