planta,modelo,motivo,contagem
Physalis peruviana,RF,LRR1,6
Arabidopsis thaliana,SVM,LRR1,44
Solanum melongena,SVM,LRR1,4
Solanum tuberosum,SVM,LRR1,91
Physalis peruviana,SVM,LRR1,8
Arabidopsis thaliana,XGBoost,LRR2,145
Solanum melongena,XGBoost,LRR2,23
Solanum tuberosum,XGBoost,LRR2,187
Physalis peruviana,XGBoost,LRR2,51
Arabidopsis thaliana,RF,LRR2,88
Solanum melongena,RF,LRR2,7
Solanum tuberosum,RF,LRR2,124
Physalis peruviana,RF,LRR2,26
Arabidopsis thaliana,SVM,LRR2,111
Solanum melongena,SVM,LRR2,10
Solanum tuberosum,SVM,LRR2,167
Physalis peruviana,SVM,LRR2,36
