Modelo,ROC_AUC,F1,Precision,Recall,Balanced_Accuracy
Random Forest,0.9125769690285819,0.8199233716475096,0.8806584362139918,0.7670250896057348,0.8215467328370554
XGBoost,0.9303143093465674,0.8428835489833642,0.8702290076335878,0.8172043010752689,0.8359525778880618
SVM,0.9261327083907729,0.8495238095238096,0.9065040650406504,0.7992831541218638,0.8504962779156328
